0.2082
0.3200
0.0499
state,currentTime,x,y,liftoff,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,prev_errorX,prev_errorY,flightTime,dt,x_origin,y_origin, pressure, rbfp, reset
PHASE 2, 12146342.00,13.3750,8.6250,1.1900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.1384,0.0282,0.0000,-1.0000,99317.0950,0,0
PHASE 2, 12188139.00,14.6250,6.8125,2.0000,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.1801,0.0293,0.0000,-1.0000,99317.2410,0,0
PHASE 2, 12225860.00,16.3750,5.5625,2.9300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.2179,0.0242,0.0000,-1.0000,99317.2801,0,0
PHASE 2, 12267852.00,18.0625,4.7500,4.8200,5.0000,4.7500,1.0413,0.9892,0.0000,0.0449,0.0000,-0.4223,-1.0413,0.6117,77.4289,84.8163,5.0000,4.7500,1.2599,0.0295,0.0000,-1.0000,99318.4227,0,0
PHASE 2, 12308611.00,19.0000,4.4375,4.8800,5.0000,4.4375,1.0413,0.9241,0.0000,0.0850,0.0000,-0.5510,-1.0413,0.4582,77.4289,84.3618,5.0000,4.4375,1.3006,0.0283,0.0000,-1.0000,99318.5261,0,0
PHASE 2, 12352375.00,19.0625,5.0625,3.5200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.9566,-1.0413,1.9978,77.4289,88.8643,5.0000,5.0000,1.3444,0.0293,0.0000,-1.0000,99319.4994,0,0
PHASE 2, 12394512.00,18.8750,5.6875,5.5900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.3865,0.0280,0.0000,-1.0000,99319.3696,0,0
PHASE 2, 12432106.00,18.0000,6.0625,0.1600,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.4241,0.0245,0.0000,-1.0000,99318.3614,0,0
PHASE 2, 12468969.00,17.6250,6.7500,1.5800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.4610,0.0244,0.0000,-1.0000,99317.0545,0,0
PHASE 2, 12505749.00,18.0000,7.6250,1.9300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.4978,0.0243,0.0000,-1.0000,99317.4157,0,0
PHASE 2, 12546367.00,18.6250,8.3750,2.5300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.5384,0.0281,0.0000,-1.0000,99317.6984,0,0
PHASE 2, 12588455.00,19.2500,9.1250,3.2500,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.5805,0.0296,0.0000,-1.0000,99317.7454,0,0
PHASE 2, 12626221.00,19.6250,9.9375,2.7100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.6182,0.0247,0.0000,-1.0000,99317.9653,0,0
PHASE 2, 12668355.00,20.6250,10.8125,3.2900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.6604,0.0296,0.0000,-1.0000,99318.0685,0,0
PHASE 2, 12709062.00,21.9375,11.8750,5.4400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.7011,0.0282,0.0000,-1.0000,99317.7060,0,0
PHASE 2, 12752635.00,22.8750,12.7500,3.9700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.7446,0.0292,0.0000,-1.0000,99316.6415,0,0
PHASE 2, 12794932.00,23.5000,13.1875,3.8200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.7869,0.0280,0.0000,-1.0000,99316.7245,0,0
PHASE 2, 12832653.00,24.0000,13.2500,3.8500,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.8247,0.0246,0.0000,-1.0000,99316.4968,0,0
PHASE 2, 12869786.00,24.6250,13.1250,3.7700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.8618,0.0246,0.0000,-1.0000,99315.9354,0,0
PHASE 2, 12906585.00,25.2500,13.1250,2.7700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.8986,0.0243,0.0000,-1.0000,99316.2348,0,0
PHASE 2, 12947414.00,26.0000,13.4375,4.6100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.9394,0.0283,0.0000,-1.0000,99316.6747,0,0
PHASE 2, 12989248.00,26.3125,14.5625,4.7600,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,1.9813,0.0294,0.0000,-1.0000,99316.2020,0,0
PHASE 2, 13026953.00,26.3750,15.6875,4.2600,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.0190,0.0242,0.0000,-1.0000,99315.0658,0,0
PHASE 2, 13068921.00,26.3125,16.2500,4.7300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.0609,0.0295,0.0000,-1.0000,99315.3722,0,0
PHASE 2, 13109660.00,26.1875,16.9375,4.9800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.1017,0.0283,0.0000,-1.0000,99316.3634,0,0
PHASE 2, 13154376.00,26.0000,17.3750,4.8900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.1464,0.0301,0.0000,-1.0000,99315.5191,0,0
PHASE 2, 13196244.00,26.0625,17.1250,3.6000,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.1883,0.0283,0.0000,-1.0000,99314.7422,0,0
PHASE 2, 13233353.00,26.3125,16.6875,5.0500,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.2254,0.0245,0.0000,-1.0000,99314.6465,0,0
PHASE 2, 13271648.00,26.3750,16.3750,5.3800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.2637,0.0258,0.0000,-1.0000,99314.1170,0,0
PHASE 2, 13307623.00,26.0000,16.1875,3.6100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.2996,0.0235,0.0000,-1.0000,99315.1667,0,0
PHASE 2, 13342699.00,25.8750,16.1250,3.6500,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.3347,0.0226,0.0000,-1.0000,99314.7772,0,0
PHASE 2, 13376541.00,25.7500,15.9375,4.2800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.3686,0.0191,0.0000,-1.0000,99316.6563,0,0
PHASE 2, 13412587.00,25.6875,15.7500,4.8300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.4046,0.0292,0.0000,-1.0000,99316.4292,0,0
PHASE 2, 13457353.00,25.5000,15.5625,3.4700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.4494,0.0297,0.0000,-1.0000,99317.4533,0,0
PHASE 2, 13498039.00,25.1875,15.3125,5.1700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.4900,0.0282,0.0000,-1.0000,99316.8289,0,0
PHASE 2, 13539753.00,24.5000,13.8125,5.8400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.5318,0.0292,0.0000,-1.0000,99316.6081,0,0
PHASE 2, 13577269.00,22.7500,12.1250,4.1800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.5693,0.0248,0.0000,-1.0000,99316.0367,0,0
PHASE 2, 13619192.00,21.0625,10.6250,5.9000,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.6112,0.0294,0.0000,-1.0000,99316.0699,0,0
PHASE 2, 13659543.00,19.1875,10.0000,3.4300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.6516,0.0279,0.0000,-1.0000,99316.6855,0,0
PHASE 2, 13695017.00,17.6250,9.2500,-1.6400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.6870,0.0221,0.0000,-1.0000,99316.4125,0,0
PHASE 2, 13739069.00,17.1250,7.7500,0.0800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.7311,0.0303,0.0000,-1.0000,99316.9329,0,0
PHASE 2, 13780298.00,17.4375,7.9375,-2.5700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.7723,0.0287,0.0000,-1.0000,99316.5298,0,0
PHASE 2, 13817392.00,19.2500,8.8750,4.1800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.8094,0.0246,0.0000,-1.0000,99316.7631,0,0
PHASE 2, 13858514.00,20.7500,9.5625,5.3800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.8505,0.0285,0.0000,-1.0000,99317.4762,0,0
PHASE 2, 13898856.00,21.5000,9.8125,3.8400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.8909,0.0279,0.0000,-1.0000,99317.9973,0,0
PHASE 2, 13934758.00,21.9375,9.7500,4.6400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.9268,0.0234,0.0000,-1.0000,99318.2746,0,0
PHASE 2, 13972227.00,22.3750,9.6875,4.8400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,2.9642,0.0250,0.0000,-1.0000,99318.1889,0,0
PHASE 2, 14008319.00,22.5000,9.2500,4.4300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.0003,0.0236,0.0000,-1.0000,99318.8652,0,0
PHASE 2, 14048690.00,22.4375,9.3750,3.4600,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.0407,0.0279,0.0000,-1.0000,99319.1287,0,0
PHASE 2, 14090540.00,22.5625,9.5000,4.0700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.0825,0.0294,0.0000,-1.0000,99319.1719,0,0
PHASE 2, 14128168.00,22.5625,9.8125,4.2600,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.1202,0.0246,0.0000,-1.0000,99318.1648,0,0
PHASE 2, 14170229.00,22.4375,9.8750,3.8100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.1622,0.0296,0.0000,-1.0000,99317.6089,0,0
PHASE 2, 14210603.00,22.3750,9.8750,3.1400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.2026,0.0279,0.0000,-1.0000,99317.1021,0,0
PHASE 2, 14251956.00,22.4375,9.5625,3.7800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.2440,0.0276,0.0000,-1.0000,99317.2609,0,0
PHASE 2, 14294698.00,22.5000,9.3750,4.2400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.2867,0.0276,0.0000,-1.0000,99317.0411,0,0
PHASE 2, 14339639.00,22.3750,9.0000,3.4900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.3316,0.0306,0.0000,-1.0000,99316.4051,0,0
PHASE 2, 14381128.00,22.3125,8.9375,4.0300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.3731,0.0290,0.0000,-1.0000,99316.7923,0,0
PHASE 2, 14418363.00,22.0625,8.9375,3.9600,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.4104,0.0248,0.0000,-1.0000,99316.5610,0,0
PHASE 2, 14459478.00,21.8125,9.0000,2.4400,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.4515,0.0286,0.0000,-1.0000,99317.4797,0,0
